"","Datum","Klant","Technische.tekening","Aantal","Materiaal","Levertermijn","Productiedatum","Complexiteit","Snijlijn","Kosten"
"67",2016-01-08,"DTMetal",TRUE,69,"Staal 7mm",10,2016-01-15,3,2,345
"68",2016-01-13,"Proto Steel",TRUE,122,"RVS 10mm",5,2016-01-15,8,5,1586
"69",2016-01-13,"Kopa Products",TRUE,100,"RVS 7mm",5,2016-01-15,3,4,700
"70",2016-01-13,"Kling Steel",TRUE,177,"RVS 10mm",5,2016-01-15,6,7,2301
"71",2016-01-13,"Sion Engineering",TRUE,77,"RVS 7mm",5,2016-01-15,4,4,616
"72",2016-01-13,"Rico Metaal",TRUE,152,"Staal 7mm",5,2016-01-15,10,4,2128
"73",2016-01-09,"Janssen Fencing",TRUE,152,"Staal 7mm",10,2016-01-16,4,7,1672
"74",2016-01-14,"Krom BV",TRUE,167,"Staal 7mm",5,2016-01-16,8,10,3006
"75",2016-01-14,"Office Builders",TRUE,124,"RVS 7mm",5,2016-01-16,2,8,1240
"76",2016-01-10,"Waalwijk Machinebouw",TRUE,242,"Staal 7mm",10,2016-01-17,1,6,1694
"77",2016-01-10,"Aga Scheepsbouw",TRUE,100,"RVS 10mm",10,2016-01-17,3,9,1200
"78",2016-01-15,"Staalwerk Leuth",TRUE,125,"RVS 7mm",5,2016-01-17,4,5,1125
"79",2016-01-15,"Proto Steel",TRUE,117,"RVS 10mm",5,2016-01-17,4,4,936
"80",2016-01-15,"Dai Compressors",TRUE,72,"RVS 10mm",5,2016-01-17,3,2,360
"81",2016-01-15,"Janssen Fencing",TRUE,151,"Staal 7mm",5,2016-01-17,2,9,1661
"82",2016-01-15,"DTMetal",TRUE,79,"RVS 7mm",5,2016-01-17,6,3,711
"83",2016-01-15,"Hattink Spare Parts",TRUE,59,"Staal 7mm",5,2016-01-17,4,3,413
"84",2016-01-11,"SODIA",TRUE,79,"Staal 7mm",10,2016-01-18,1,9,790
"85",2016-01-16,"Larson Automotive Engineering",TRUE,102,"RVS 10mm",5,2016-01-18,3,8,1122
"86",2016-01-16,"Laardam Kasbouw",TRUE,150,"RVS 7mm",5,2016-01-18,6,10,2400
"87",2016-01-16,"Breda Containerbouw",TRUE,84,"RVS 7mm",5,2016-01-18,7,7,1176
"88",2016-01-16,"Borculo Maritieme Techniek",TRUE,229,"RVS 10mm",5,2016-01-18,6,10,3664
"89",2016-01-16,"Dutch Robot Builders",TRUE,99,"RVS 10mm",5,2016-01-18,4,5,891
"90",2016-01-12,"Kulong Machinery",TRUE,112,"RVS 7mm",10,2016-01-19,4,1,560
"91",2016-01-17,"Krom BV",TRUE,80,"RVS 10mm",5,2016-01-19,4,2,480
"92",2016-01-17,"Janssen Fencing",TRUE,79,"Staal 7mm",5,2016-01-19,3,9,948
"93",2016-01-17,"Borderwijk Industrial Processing",TRUE,41,"RVS 10mm",5,2016-01-19,1,10,451
"94",2016-01-17,"Breda Containerbouw",TRUE,119,"Staal 7mm",5,2016-01-19,5,9,1666
"95",2016-01-17,"Dutch Robot Builders",TRUE,191,"RVS 10mm",5,2016-01-19,7,6,2483
"96",2016-01-17,"Kuster Roasting Machines",TRUE,63,"RVS 10mm",5,2016-01-19,2,4,378
"97",2016-01-17,"Railtron",TRUE,90,"RVS 10mm",5,2016-01-19,1,2,270
"98",2016-01-13,"DTMetal",TRUE,121,"RVS 7mm",10,2016-01-20,10,1,1331
"99",2016-01-13,"Borculo Maritieme Techniek",TRUE,172,"RVS 10mm",10,2016-01-20,5,7,2064
"100",2016-01-13,"BASKO",TRUE,91,"RVS 10mm",10,2016-01-20,5,10,1365
"101",2016-01-18,"Rico Metaal",TRUE,105,"RVS 10mm",5,2016-01-20,3,2,525
"102",2016-01-18,"Larson Automotive Engineering",TRUE,152,"Staal 7mm",5,2016-01-20,1,9,1520
"103",2016-01-18,"Office Builders",TRUE,29,"Staal 7mm",5,2016-01-20,6,9,435
"104",2016-01-18,"Mink Industrial Metal Ware",TRUE,80,"Staal 7mm",5,2016-01-20,10,6,1280
"105",2016-01-18,"Kulong Machinery",TRUE,93,"Staal 7mm",5,2016-01-20,6,1,651
"106",2016-01-18,"Complete Technologies",TRUE,75,"RVS 10mm",5,2016-01-20,4,5,675
"107",2016-01-18,"Kimble Building Site Logistics",TRUE,147,"RVS 10mm",5,2016-01-20,5,2,1029
"108",2016-01-14,"Secure Fencing",TRUE,161,"RVS 7mm",10,2016-01-21,9,8,2737
"109",2016-01-19,"Janssen Fencing",TRUE,188,"RVS 7mm",5,2016-01-21,1,2,564
"110",2016-01-19,"Larson Automotive Engineering",TRUE,214,"Staal 7mm",5,2016-01-21,1,10,2354
"111",2016-01-19,"Hattink Spare Parts",TRUE,73,"RVS 7mm",5,2016-01-21,1,6,511
"112",2016-01-19,"Special Scaffoldings",TRUE,136,"RVS 10mm",5,2016-01-21,8,3,1496
"113",2016-01-19,"Special Scaffoldings",TRUE,24,"RVS 10mm",5,2016-01-21,6,10,384
"114",2016-01-15,"Kuster Roasting Machines",TRUE,56,"Staal 7mm",10,2016-01-22,4,10,784
"115",2016-01-15,"Largo Steel Constructions",TRUE,92,"RVS 10mm",10,2016-01-22,3,7,920
"116",2016-01-20,"KSW",TRUE,133,"RVS 10mm",5,2016-01-22,5,1,798
"117",2016-01-20,"Proto Steel",TRUE,136,"Staal 7mm",5,2016-01-22,8,4,1632
"118",2016-01-20,"Dai Compressors",TRUE,36,"RVS 7mm",5,2016-01-22,6,4,360
"119",2016-01-20,"Waalwijk Machinebouw",TRUE,52,"RVS 10mm",5,2016-01-22,10,4,728
"120",2016-01-16,"Karel Nieuwdam",TRUE,111,"Staal 7mm",10,2016-01-23,9,3,1332
"121",2016-01-21,"Karel Nieuwdam",TRUE,101,"RVS 10mm",5,2016-01-23,2,8,1010
"122",2016-01-21,"Rico Metaal",TRUE,157,"Staal 7mm",5,2016-01-23,3,2,785
"123",2016-01-21,"Pol Opleggers",TRUE,242,"RVS 10mm",5,2016-01-23,4,4,1936
"124",2016-01-17,"Rico Metaal",TRUE,113,"RVS 10mm",10,2016-01-24,4,6,1130
"125",2016-01-22,"Staalwerk Leuth",TRUE,120,"RVS 10mm",5,2016-01-24,6,4,1200
"126",2016-01-22,"Karel Nieuwdam",TRUE,145,"RVS 7mm",5,2016-01-24,5,4,1305
"127",2016-01-22,"DTMetal",TRUE,71,"RVS 10mm",5,2016-01-24,7,6,923
"128",2016-01-22,"Office Builders",TRUE,124,"RVS 7mm",5,2016-01-24,2,8,1240
"129",2016-01-22,"Waalwijk Machinebouw",TRUE,158,"RVS 10mm",5,2016-01-24,2,9,1738
"130",2016-01-22,"Borderwijk Industrial Processing",TRUE,8,"Staal 7mm",5,2016-01-24,4,3,56
"131",2016-01-22,"Sandon Foodprocessing",TRUE,104,"RVS 10mm",5,2016-01-24,2,9,1144
"132",2016-01-22,"Dutch Robot Builders",TRUE,93,"Staal 7mm",5,2016-01-24,5,1,558
"133",2016-01-22,"BASKO",TRUE,113,"RVS 10mm",5,2016-01-24,3,2,565
"134",2016-01-22,"Kuster Roasting Machines",TRUE,212,"RVS 10mm",5,2016-01-24,5,6,2332
"135",2016-01-22,"KSW",TRUE,120,"RVS 10mm",5,2016-01-24,10,4,1680
"136",2016-01-18,"Sandon Foodprocessing",TRUE,142,"RVS 10mm",10,2016-01-25,8,7,2130
"137",2016-01-23,"Proto Steel",TRUE,31,"RVS 7mm",5,2016-01-25,5,6,341
"138",2016-01-23,"Kopa Products",TRUE,155,"RVS 10mm",5,2016-01-25,7,3,1550
"139",2016-01-23,"Borderwijk Robotics",TRUE,165,"RVS 7mm",5,2016-01-25,6,4,1650
"140",2016-01-23,"Borderwijk Industrial Processing",TRUE,172,"Staal 7mm",5,2016-01-25,9,4,2236
"141",2016-01-23,"Kuster Roasting Machines",TRUE,154,"RVS 7mm",5,2016-01-25,3,2,770
"142",2016-01-23,"Bart Speed and Safety",TRUE,221,"RVS 10mm",5,2016-01-25,10,4,3094
"143",2016-01-19,"Kopa Products",TRUE,44,"RVS 7mm",10,2016-01-26,2,7,396
"144",2016-01-24,"Borderwijk Robotics",TRUE,81,"Staal 7mm",5,2016-01-26,7,9,1296
"145",2016-01-25,"Proto Steel",TRUE,170,"RVS 10mm",5,2016-01-27,7,5,2040
"146",2016-01-25,"Maja Metal Art",TRUE,6,"RVS 10mm",5,2016-01-27,1,7,48
"147",2016-01-25,"Secure Fencing",TRUE,148,"RVS 7mm",5,2016-01-27,4,5,1332
"148",2016-01-25,"Complete Technologies",TRUE,113,"RVS 10mm",5,2016-01-27,8,6,1582
"149",2016-01-01,"KSW",TRUE,171,"Staal 7mm",30,2016-01-28,3,2,855
"150",2016-01-01,"Kulong Machinery",TRUE,106,"RVS 10mm",30,2016-01-28,4,2,636
"151",2016-01-21,"CamCad",TRUE,152,"Staal 7mm",10,2016-01-28,9,8,2584
"152",2016-01-21,"Proto Steel",TRUE,129,"RVS 10mm",10,2016-01-28,4,8,1548
"153",2016-01-21,"Mink Industrial Metal Ware",TRUE,85,"RVS 10mm",10,2016-01-28,1,1,170
"154",2016-01-26,"Metaal Combinatie Kanfort",TRUE,51,"RVS 7mm",5,2016-01-28,7,1,408
"155",2016-01-26,"Proto Steel",TRUE,127,"Staal 7mm",5,2016-01-28,8,1,1143
"156",2016-01-26,"Waalwijk Machinebouw",TRUE,173,"Staal 7mm",5,2016-01-28,7,5,2076
"157",2016-01-26,"Railtron",TRUE,108,"RVS 10mm",5,2016-01-28,9,3,1296
"158",2016-01-26,"Borderwijk Robotics",TRUE,159,"RVS 10mm",5,2016-01-28,9,10,3021
"159",2016-01-26,"Borderwijk Industrial Processing",TRUE,49,"RVS 10mm",5,2016-01-28,3,9,588
"160",2016-01-26,"Borculo Maritieme Techniek",TRUE,68,"Staal 7mm",5,2016-01-28,6,2,544
"161",2016-01-26,"Kuster Roasting Machines",TRUE,104,"RVS 10mm",5,2016-01-28,9,2,1144
"162",2016-01-26,"Pyro Mechanics",TRUE,151,"RVS 10mm",5,2016-01-28,3,2,755
"163",2016-01-02,"Karel Nieuwdam",TRUE,139,"RVS 10mm",30,2016-01-29,4,10,1946
"164",2016-01-22,"Laardam Kasbouw",TRUE,73,"RVS 10mm",10,2016-01-29,10,5,1095
"165",2016-01-27,"Rico Metaal",TRUE,53,"Staal 7mm",5,2016-01-29,8,2,530
"166",2016-01-27,"DTMetal",TRUE,136,"RVS 10mm",5,2016-01-29,6,9,2040
"167",2016-01-27,"Pol Opleggers",TRUE,64,"RVS 10mm",5,2016-01-29,9,10,1216
"168",2016-01-27,"Railtron",TRUE,135,"RVS 10mm",5,2016-01-29,6,9,2025
"169",2016-01-27,"Aga Scheepsbouw",TRUE,138,"RVS 10mm",5,2016-01-29,9,4,1794
"170",2016-01-27,"FTME",TRUE,211,"RVS 10mm",5,2016-01-29,4,9,2743
"171",2016-01-27,"FTME",TRUE,124,"RVS 10mm",5,2016-01-29,6,8,1736
"172",2016-01-03,"Rico Metaal",TRUE,52,"RVS 10mm",30,2016-01-30,3,10,676
"173",2016-01-23,"Pyro Mechanics",TRUE,106,"RVS 10mm",10,2016-01-30,5,6,1166
"174",2016-01-23,"Dutch Robot Builders",TRUE,105,"Staal 7mm",10,2016-01-30,6,10,1680
"175",2016-01-28,"KSW",TRUE,86,"RVS 10mm",5,2016-01-30,1,3,344
"176",2016-01-28,"Kulong Machinery",TRUE,75,"Staal 7mm",5,2016-01-30,2,7,675
"177",2016-01-28,"Dai Compressors",TRUE,82,"RVS 10mm",5,2016-01-30,7,8,1230
"178",2016-01-28,"Janssen Fencing",TRUE,143,"RVS 10mm",5,2016-01-30,9,2,1573
"179",2016-01-28,"Mink Industrial Metal Ware",TRUE,96,"RVS 7mm",5,2016-01-30,1,3,384
"180",2016-01-24,"Rico Metaal",TRUE,120,"Staal 7mm",10,2016-01-31,8,4,1440
"181",2016-01-24,"Borculo Maritieme Techniek",TRUE,80,"Staal 7mm",10,2016-01-31,6,10,1280
"182",2016-01-29,"Special Scaffoldings",TRUE,125,"RVS 10mm",5,2016-01-31,1,9,1250
"183",2016-01-29,"Breda Containerbouw",TRUE,148,"RVS 10mm",5,2016-01-31,4,1,740
"184",2016-01-29,"Borculo Maritieme Techniek",TRUE,76,"Staal 7mm",5,2016-01-31,7,8,1140
"185",2016-01-05,"Rico Metaal",TRUE,144,"RVS 7mm",30,2016-02-01,3,7,1440
"186",2016-01-05,"Uniebouw Isolatietechnologie",TRUE,118,"RVS 10mm",30,2016-02-01,10,7,2006
"187",2016-01-05,"Kimble Building Site Logistics",TRUE,117,"RVS 10mm",30,2016-02-01,10,5,1755
"188",2016-01-25,"Kopa Products",TRUE,186,"RVS 10mm",10,2016-02-01,5,10,2790
"189",2016-01-30,"Rico Metaal",TRUE,174,"RVS 7mm",5,2016-02-01,8,8,2784
"190",2016-01-30,"Kopa Products",TRUE,130,"Staal 7mm",5,2016-02-01,10,1,1430
"191",2016-01-30,"Sion Engineering",TRUE,145,"RVS 10mm",5,2016-02-01,8,8,2320
"192",2016-01-30,"BASKO",TRUE,186,"RVS 10mm",5,2016-02-01,6,2,1488
"193",2016-01-30,"Complete Technologies",TRUE,44,"RVS 10mm",5,2016-02-01,7,10,748
"194",2016-01-30,"FTME",TRUE,32,"RVS 10mm",5,2016-02-01,9,7,512
"195",2016-01-06,"Andersen Koeltechnologie",TRUE,31,"RVS 10mm",30,2016-02-02,10,4,434
"196",2016-01-26,"Krom BV",TRUE,88,"RVS 7mm",10,2016-02-02,7,8,1320
"197",2016-01-31,"Rico Metaal",TRUE,55,"RVS 7mm",5,2016-02-02,9,5,770
"198",2016-01-31,"Larson Automotive Engineering",TRUE,124,"Staal 7mm",5,2016-02-02,9,2,1364
"199",2016-01-31,"Aga Scheepsbouw",TRUE,122,"RVS 10mm",5,2016-02-02,3,7,1220
"200",2016-01-31,"Kimble Building Site Logistics",TRUE,101,"RVS 10mm",5,2016-02-02,3,9,1212
"201",2016-01-31,"Mink Industrial Metal Ware",TRUE,121,"RVS 10mm",5,2016-02-02,10,7,2057
"202",2016-01-31,"Kopa Products",TRUE,104,"RVS 10mm",5,2016-02-02,3,6,936
"203",2016-02-01,"Karel Nieuwdam",TRUE,62,"Staal 7mm",5,2016-02-03,7,5,744
"204",2016-02-01,"Kopa Products",TRUE,127,"RVS 10mm",5,2016-02-03,10,7,2159
"205",2016-02-01,"DTMetal",TRUE,86,"Staal 7mm",5,2016-02-03,2,6,688
"206",2016-02-01,"Special Scaffoldings",TRUE,115,"RVS 7mm",5,2016-02-03,7,2,1035
"207",2016-02-01,"Borculo Maritieme Techniek",TRUE,121,"RVS 10mm",5,2016-02-03,4,10,1694
"208",2016-01-28,"Office Builders",TRUE,172,"RVS 10mm",10,2016-02-04,2,9,1892
"209",2016-02-02,"KSW",TRUE,138,"Staal 7mm",5,2016-02-04,8,6,1932
"210",2016-02-02,"Janssen Fencing",TRUE,112,"RVS 7mm",5,2016-02-04,1,3,448
"211",2016-02-02,"Kopa Products",TRUE,101,"RVS 10mm",5,2016-02-04,9,4,1313
"212",2016-02-02,"DTMetal",TRUE,142,"Staal 7mm",5,2016-02-04,9,4,1846
"213",2016-02-02,"Wimmers Bouwketen",TRUE,87,"Staal 7mm",5,2016-02-04,7,10,1479
"214",2016-02-02,"Aga Scheepsbouw",TRUE,87,"RVS 7mm",5,2016-02-04,5,4,783
"215",2016-01-29,"Proto Steel",TRUE,124,"Staal 7mm",10,2016-02-05,8,2,1240
"216",2016-01-29,"Kulong Machinery",TRUE,84,"RVS 10mm",10,2016-02-05,4,7,924
"217",2016-01-29,"Janssen Fencing",TRUE,157,"RVS 10mm",10,2016-02-05,9,1,1570
"218",2016-02-03,"Karel Nieuwdam",TRUE,147,"RVS 7mm",5,2016-02-05,10,5,2205
"219",2016-02-03,"Office Builders",TRUE,47,"RVS 10mm",5,2016-02-05,4,9,611
"220",2016-02-03,"Special Scaffoldings",TRUE,124,"RVS 10mm",5,2016-02-05,3,7,1240
"221",2016-02-03,"Borderwijk Robotics",TRUE,163,"RVS 10mm",5,2016-02-05,6,7,2119
"222",2016-02-03,"Borderwijk Industrial Processing",TRUE,147,"RVS 10mm",5,2016-02-05,5,9,2058
"223",2016-02-03,"Borculo Maritieme Techniek",TRUE,128,"RVS 10mm",5,2016-02-05,8,3,1408
"224",2016-02-03,"BASKO",TRUE,84,"RVS 10mm",5,2016-02-05,9,7,1344
"225",2016-01-30,"Borderwijk Industrial Processing",TRUE,106,"RVS 10mm",10,2016-02-06,1,9,1060
"226",2016-02-04,"Metaal Combinatie Kanfort",TRUE,29,"Staal 7mm",5,2016-02-06,7,4,319
"227",2016-02-04,"Kopa Products",TRUE,82,"RVS 10mm",5,2016-02-06,1,10,902
"228",2016-02-04,"Office Builders",TRUE,117,"Staal 7mm",5,2016-02-06,5,4,1053
"229",2016-02-04,"Special Scaffoldings",TRUE,152,"RVS 7mm",5,2016-02-06,6,8,2128
"230",2016-02-04,"Wimmers Bouwketen",TRUE,159,"RVS 10mm",5,2016-02-06,5,10,2385
"231",2016-02-04,"Secure Fencing",TRUE,129,"RVS 10mm",5,2016-02-06,2,7,1161
"232",2016-02-04,"Hattink Spare Parts",TRUE,40,"RVS 10mm",5,2016-02-06,9,5,560
"233",2016-01-11,"Mink Industrial Metal Ware",TRUE,139,"RVS 7mm",30,2016-02-07,4,7,1529
"234",2016-02-05,"SODIA",TRUE,72,"RVS 10mm",5,2016-02-07,4,2,432
"235",2016-02-05,"Rico Metaal",TRUE,66,"RVS 10mm",5,2016-02-07,2,6,528
"236",2016-02-05,"Pyro Mechanics",TRUE,149,"RVS 10mm",5,2016-02-07,6,10,2384
"237",2016-02-05,"Pol Opleggers",TRUE,38,"RVS 7mm",5,2016-02-07,6,8,532
"238",2016-02-05,"Borculo Maritieme Techniek",TRUE,173,"RVS 10mm",5,2016-02-07,5,9,2422
"239",2016-02-05,"BASKO",TRUE,116,"RVS 10mm",5,2016-02-07,3,2,580
"240",2016-02-05,"Kimble Building Site Logistics",TRUE,193,"RVS 10mm",5,2016-02-07,7,9,3088
"241",2016-02-05,"Mink Industrial Metal Ware",TRUE,131,"RVS 10mm",5,2016-02-07,4,7,1441
"242",2016-01-12,"Borderwijk Industrial Processing",TRUE,156,"Staal 7mm",30,2016-02-08,3,2,780
"243",2016-02-01,"Larson Automotive Engineering",TRUE,225,"RVS 7mm",10,2016-02-08,1,10,2475
"244",2016-02-06,"Rico Metaal",TRUE,133,"RVS 10mm",5,2016-02-08,1,5,798
"245",2016-02-06,"Bart Speed and Safety",TRUE,98,"Staal 7mm",5,2016-02-08,2,5,686
"246",2016-02-06,"Borderwijk Industrial Processing",TRUE,42,"RVS 7mm",5,2016-02-08,5,9,588
"247",2016-02-06,"Wimmers Bouwketen",TRUE,52,"RVS 10mm",5,2016-02-08,5,1,312
"248",2016-01-13,"Metaal Combinatie Kanfort",TRUE,148,"RVS 10mm",30,2016-02-09,10,4,2072
"249",2016-02-02,"Karel Nieuwdam",TRUE,89,"RVS 7mm",10,2016-02-09,9,10,1691
"250",2016-02-02,"Mink Industrial Metal Ware",TRUE,43,"RVS 10mm",10,2016-02-09,4,1,215
"251",2016-02-07,"SODIA",TRUE,135,"Staal 7mm",5,2016-02-09,9,3,1620
"252",2016-02-07,"DTMetal",TRUE,125,"RVS 10mm",5,2016-02-09,3,6,1125
"253",2016-02-07,"Special Scaffoldings",TRUE,67,"RVS 10mm",5,2016-02-09,2,4,402
"254",2016-02-07,"Borderwijk Robotics",TRUE,82,"RVS 10mm",5,2016-02-09,9,8,1394
"255",2016-02-03,"KSW",TRUE,112,"RVS 10mm",10,2016-02-10,6,5,1232
"256",2016-02-03,"Rico Metaal",TRUE,114,"RVS 10mm",10,2016-02-10,5,10,1710
"257",2016-02-03,"Kimble Building Site Logistics",TRUE,53,"Staal 7mm",10,2016-02-10,9,5,742
"258",2016-02-03,"Mink Industrial Metal Ware",TRUE,39,"RVS 10mm",10,2016-02-10,6,2,312
"259",2016-02-08,"Hattink Spare Parts",TRUE,148,"RVS 10mm",5,2016-02-10,10,10,2960
"260",2016-02-08,"Maja Metal Art",TRUE,107,"RVS 7mm",5,2016-02-10,1,3,428
"261",2016-02-08,"Mink Industrial Metal Ware",TRUE,153,"Staal 7mm",5,2016-02-10,8,8,2448
"262",2016-01-15,"Krom BV",TRUE,107,"RVS 10mm",30,2016-02-11,1,5,642
"263",2016-02-09,"DTMetal",TRUE,38,"Staal 7mm",5,2016-02-11,10,10,760
"264",2016-02-09,"Kuster Roasting Machines",TRUE,72,"RVS 10mm",5,2016-02-11,1,1,144
"265",2016-02-09,"FTME",TRUE,151,"RVS 7mm",5,2016-02-11,3,1,604
